epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.1505,0.25977,0.98601,1,0.05187,0.000330128,0.000330128,0.0673173
2,23.3455,0.09903,0.98741,1,0.03991,0.000661662,0.000661662,0.0343155
3,32.4122,0.08126,0.9972,1,0.02548,0.000986013,0.000986013,0.00130653
4,41.2483,0.06922,0.97483,1,0.05618,0.000975773,0.000975773,0.000975773
5,49.8561,0.05546,0.98601,1,0.04379,0.000957205,0.000957205,0.000957205
6,58.5195,0.04955,0.9958,1,0.00755,0.000933683,0.000933683,0.000933683
7,67.0162,0.04143,0.9986,1,0.00723,0.000905463,0.000905463,0.000905463
8,75.9877,0.04595,0.9972,1,0.00823,0.000872857,0.000872857,0.000872857
9,85.7137,0.03994,0.99441,1,0.01546,0.00083622,0.00083622,0.00083622
10,94.4775,0.02959,0.9972,1,0.007,0.000795954,0.000795954,0.000795954
11,103.545,0.04262,0.9972,1,0.00727,0.0007525,0.0007525,0.0007525
12,112.572,0.02431,0.9972,1,0.00694,0.000706335,0.000706335,0.000706335
13,123.261,0.02764,0.9972,1,0.01017,0.000657963,0.000657963,0.000657963
14,133.123,0.02144,0.99441,1,0.01217,0.000607916,0.000607916,0.000607916
15,146.358,0.02042,1,1,0.00362,0.000556742,0.000556742,0.000556742
16,157.353,0.02265,0.9958,1,0.00843,0.000505,0.000505,0.000505
17,167.664,0.02077,0.9986,1,0.00644,0.000453258,0.000453258,0.000453258
18,178.531,0.01663,0.9972,1,0.00731,0.000402084,0.000402084,0.000402084
19,188.563,0.01911,0.9986,1,0.00891,0.000352037,0.000352037,0.000352037
20,198.765,0.01785,0.9972,1,0.01087,0.000303665,0.000303665,0.000303665
21,223.756,0.01514,1,1,0.00312,0.0002575,0.0002575,0.0002575
22,233.354,0.01597,0.9986,1,0.00481,0.000214046,0.000214046,0.000214046
23,243.039,0.01299,0.9986,1,0.00454,0.00017378,0.00017378,0.00017378
24,252.22,0.01386,1,1,0.00486,0.000137143,0.000137143,0.000137143
25,261.951,0.01388,0.9986,1,0.00408,0.000104537,0.000104537,0.000104537
