epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.29145,0.96079,0.74167,1,0.64697,0.00022,0.00022,0.07822
2,5.41503,0.21073,0.9,1,0.3667,0.000449313,0.000449313,0.0554493
3,7.09623,0.10899,0.93056,1,0.22961,0.000675856,0.000675856,0.0326759
4,8.9451,0.10841,0.99722,1,0.01265,0.000897554,0.000897554,0.00989755
5,10.8815,0.15695,0.96389,1,0.1215,0.000975773,0.000975773,0.000975773
6,12.8328,0.10009,0.99444,1,0.01277,0.00096232,0.00096232,0.00096232
7,14.6877,0.06764,0.99722,1,0.0103,0.000946048,0.000946048,0.000946048
8,16.571,0.06002,0.99722,1,0.00581,0.000927057,0.000927057,0.000927057
9,18.4758,0.08994,1,1,0.01035,0.000905463,0.000905463,0.000905463
10,20.7171,0.05878,0.99444,1,0.02064,0.000881401,0.000881401,0.000881401
11,22.7434,0.05416,1,1,0.00521,0.000855018,0.000855018,0.000855018
12,24.5572,0.04955,1,1,0.00523,0.000826477,0.000826477,0.000826477
13,26.7875,0.03964,1,1,0.00319,0.000795954,0.000795954,0.000795954
14,29.0829,0.03341,1,1,0.00084,0.000763637,0.000763637,0.000763637
15,31.0798,0.02567,1,1,0.00384,0.000729725,0.000729725,0.000729725
16,33.2014,0.02247,1,1,0.00109,0.000694428,0.000694428,0.000694428
17,35.4449,0.02579,1,1,8e-05,0.000657963,0.000657963,0.000657963
18,37.6815,0.04304,1,1,0.00027,0.000620555,0.000620555,0.000620555
19,39.7494,0.0485,1,1,0.00212,0.000582435,0.000582435,0.000582435
20,41.7167,0.04847,1,1,0.00327,0.000543837,0.000543837,0.000543837
21,43.9982,0.03814,1,1,0.00187,0.000505,0.000505,0.000505
22,46.2486,0.02691,1,1,0.00061,0.000466163,0.000466163,0.000466163
23,48.4451,0.03542,1,1,0.00055,0.000427565,0.000427565,0.000427565
24,50.5703,0.03655,0.99722,1,0.00796,0.000389445,0.000389445,0.000389445
