epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.21676,0.98566,0.725,1,0.6862,0.00022,0.00022,0.07822
2,9.76444,0.26134,0.90833,0.99722,0.3575,0.000449695,0.000449695,0.0554497
3,13.484,0.14633,0.98333,1,0.05242,0.000678156,0.000678156,0.0326782
4,17.235,0.12223,0.99722,1,0.02656,0.000904454,0.000904454,0.00990445
5,20.9588,0.10625,0.99167,1,0.02097,0.000989183,0.000989183,0.000989183
6,24.5946,0.14065,0.98056,1,0.04753,0.000983133,0.000983133,0.000983133
7,28.3288,0.12249,0.73889,1,0.82308,0.000975773,0.000975773,0.000975773
8,32.2063,0.1154,0.95278,1,0.15181,0.000967122,0.000967122,0.000967122
9,36.1745,0.11809,0.99722,1,0.02829,0.000957205,0.000957205,0.000957205
10,39.9932,0.07586,0.94722,1,0.18595,0.000946048,0.000946048,0.000946048
11,44.0129,0.07562,0.975,1,0.06745,0.000933683,0.000933683,0.000933683
12,48.1978,0.04313,0.98889,1,0.03714,0.000920142,0.000920142,0.000920142
13,52.2457,0.08777,0.98611,1,0.0383,0.000905463,0.000905463,0.000905463
14,56.1619,0.06242,1,1,0.00707,0.000889687,0.000889687,0.000889687
15,61.1676,0.06423,0.99722,1,0.01735,0.000872857,0.000872857,0.000872857
16,65.5921,0.05483,1,1,0.0077,0.000855018,0.000855018,0.000855018
17,69.5405,0.06002,1,1,0.00078,0.00083622,0.00083622,0.00083622
18,73.5276,0.06766,1,1,0.00123,0.000816514,0.000816514,0.000816514
19,77.6042,0.0382,1,1,0.00067,0.000795954,0.000795954,0.000795954
20,82.1869,0.05117,0.99444,1,0.02668,0.000774596,0.000774596,0.000774596
21,86.3838,0.03869,1,1,0.00372,0.0007525,0.0007525,0.0007525
22,90.251,0.04863,1,1,0.0082,0.000729725,0.000729725,0.000729725
23,94.604,0.04709,1,1,0.00124,0.000706335,0.000706335,0.000706335
24,99.384,0.04598,0.99722,1,0.00454,0.000682392,0.000682392,0.000682392
25,103.716,0.04694,0.99722,1,0.00595,0.000657963,0.000657963,0.000657963
26,108.016,0.04667,1,1,0.00333,0.000633115,0.000633115,0.000633115
27,112.176,0.06129,0.99722,1,0.0111,0.000607916,0.000607916,0.000607916
28,116.144,0.03731,1,1,0.00065,0.000582435,0.000582435,0.000582435
29,119.894,0.03767,1,1,0.00052,0.000556742,0.000556742,0.000556742
