epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.4656,1.04193,0.63333,1,0.86605,0.00011,0.00011,0.07811
2,8.61277,0.3336,0.93056,1,0.27645,0.000224914,0.000224914,0.0552249
3,12.245,0.1657,0.99167,1,0.029,0.000339481,0.000339481,0.0323395
4,15.619,0.12197,0.99444,1,0.02646,0.000453439,0.000453439,0.00945344
5,19.5065,0.11214,0.975,1,0.05171,0.000496953,0.000496953,0.000496953
6,24.142,0.13675,0.99722,1,0.01322,0.000495244,0.000495244,0.000495244
7,28.8364,0.11756,0.99722,1,0.01791,0.000493162,0.000493162,0.000493162
8,32.8687,0.0944,0.99722,1,0.02055,0.000490708,0.000490708,0.000490708
9,36.7999,0.08757,0.99722,1,0.00579,0.000487886,0.000487886,0.000487886
10,41.0516,0.07178,1,1,0.00566,0.000484702,0.000484702,0.000484702
11,45.4463,0.0673,0.96944,1,0.07261,0.00048116,0.00048116,0.00048116
12,49.5272,0.04813,0.975,1,0.06402,0.000477265,0.000477265,0.000477265
13,54.0779,0.05388,1,1,0.00158,0.000473024,0.000473024,0.000473024
14,58.6102,0.03869,1,1,0.00424,0.000468443,0.000468443,0.000468443
15,62.7875,0.04764,1,1,0.01435,0.000463528,0.000463528,0.000463528
16,67.3098,0.05175,1,1,0.00727,0.000458289,0.000458289,0.000458289
17,71.6983,0.06062,1,1,0.00802,0.000452732,0.000452732,0.000452732
18,75.8134,0.05024,1,1,0.00167,0.000446866,0.000446866,0.000446866
19,79.9248,0.04778,1,1,0.0012,0.0004407,0.0004407,0.0004407
20,84.2877,0.05099,1,1,0.00353,0.000434245,0.000434245,0.000434245
21,89.0234,0.04236,1,1,0.0065,0.000427509,0.000427509,0.000427509
22,93.7382,0.03886,1,1,0.00164,0.000420503,0.000420503,0.000420503
23,98.0036,0.03656,1,1,0.00342,0.000413238,0.000413238,0.000413238
24,102.064,0.05564,1,1,0.00549,0.000405726,0.000405726,0.000405726
25,106.006,0.0567,0.99722,1,0.01998,0.000397977,0.000397977,0.000397977
