inspected_at,line_id,verdict,defect_type,confidence
2026-05-22T09:00:00,A,ok,,0.981
2026-05-22T09:00:15,A,ok,,0.957
2026-05-22T09:00:30,A,ok,,0.975
2026-05-22T09:00:45,A,ok,,0.986
2026-05-22T09:01:00,A,ok,,0.984
2026-05-22T09:01:15,A,ok,,0.974
2026-05-22T09:01:30,A,ok,,0.945
2026-05-22T09:01:45,A,defect,scratch,0.964
2026-05-22T09:02:00,A,ok,,0.924
2026-05-22T09:02:15,A,ok,,0.97
2026-05-22T09:02:30,A,ok,,0.928
2026-05-22T09:02:45,A,ok,,0.973
2026-05-22T09:03:00,A,ok,,0.958
2026-05-22T09:03:15,A,defect,scratch,0.922
2026-05-22T09:03:30,A,ok,,0.969
2026-05-22T09:03:45,A,ok,,0.94
2026-05-22T09:04:00,A,ok,,0.971
2026-05-22T09:04:15,A,ok,,0.961
2026-05-22T09:04:30,A,ok,,0.93
2026-05-22T09:04:45,A,ok,,0.937
2026-05-22T09:05:00,A,ok,,0.975
2026-05-22T09:05:15,A,ok,,0.936
2026-05-22T09:05:30,A,ok,,0.96
2026-05-22T09:05:45,A,ok,,0.964
2026-05-22T09:06:00,A,ok,,0.922
2026-05-22T09:06:15,A,ok,,0.98
2026-05-22T09:06:30,A,ok,,0.969
2026-05-22T09:06:45,A,ok,,0.969
2026-05-22T09:07:00,A,ok,,0.965
2026-05-22T09:07:15,A,ok,,0.923
2026-05-22T09:07:30,A,ok,,0.957
2026-05-22T09:07:45,A,ok,,0.965
2026-05-22T09:08:00,A,ok,,0.987
2026-05-22T09:08:15,A,ok,,0.97
2026-05-22T09:08:30,A,ok,,0.973
2026-05-22T09:08:45,A,ok,,0.95
2026-05-22T09:09:00,A,ok,,0.98
2026-05-22T09:09:15,A,ok,,0.96
2026-05-22T09:09:30,A,ok,,0.983
2026-05-22T09:09:45,A,ok,,0.969
2026-05-22T09:10:00,A,ok,,0.976
2026-05-22T09:10:15,A,ok,,0.95
2026-05-22T09:10:30,A,ok,,0.921
2026-05-22T09:10:45,A,ok,,0.943
2026-05-22T09:11:00,A,ok,,0.958
2026-05-22T09:11:15,A,ok,,0.927
2026-05-22T09:11:30,A,ok,,0.986
2026-05-22T09:11:45,A,ok,,0.954
2026-05-22T09:12:00,A,ok,,0.946
2026-05-22T09:12:15,A,ok,,0.957
2026-05-22T09:12:30,A,ok,,0.94
2026-05-22T09:12:45,A,ok,,0.925
2026-05-22T09:13:00,A,ok,,0.978
2026-05-22T09:13:15,A,ok,,0.979
2026-05-22T09:13:30,A,ok,,0.986
2026-05-22T09:13:45,A,ok,,0.967
2026-05-22T09:14:00,A,ok,,0.98
2026-05-22T09:14:15,A,ok,,0.935
2026-05-22T09:14:30,A,ok,,0.975
2026-05-22T09:14:45,A,ok,,0.943
2026-05-22T09:15:00,A,ok,,0.953
2026-05-22T09:15:15,A,ok,,0.945
2026-05-22T09:15:30,A,ok,,0.972
2026-05-22T09:15:45,A,ok,,0.972
2026-05-22T09:16:00,A,ok,,0.937
2026-05-22T09:16:15,A,ok,,0.955
2026-05-22T09:16:30,A,ok,,0.945
2026-05-22T09:16:45,A,ok,,0.94
2026-05-22T09:17:00,A,ok,,0.981
2026-05-22T09:17:15,A,ok,,0.94
2026-05-22T09:17:30,A,ok,,0.963
2026-05-22T09:17:45,A,ok,,0.929
2026-05-22T09:18:00,A,ok,,0.949
2026-05-22T09:18:15,A,ok,,0.979
2026-05-22T09:18:30,A,ok,,0.957
2026-05-22T09:18:45,A,ok,,0.941
2026-05-22T09:19:00,A,ok,,0.964
2026-05-22T09:19:15,A,ok,,0.975
2026-05-22T09:19:30,A,ok,,0.981
2026-05-22T09:19:45,A,ok,,0.971
2026-05-22T09:20:00,A,ok,,0.984
2026-05-22T09:20:15,A,ok,,0.963
2026-05-22T09:20:30,A,ok,,0.962
2026-05-22T09:20:45,A,ok,,0.948
2026-05-22T09:21:00,A,ok,,0.944
2026-05-22T09:21:15,A,ok,,0.949
2026-05-22T09:21:30,A,ok,,0.99
2026-05-22T09:21:45,A,ok,,0.933
2026-05-22T09:22:00,A,ok,,0.951
2026-05-22T09:22:15,A,ok,,0.949
2026-05-22T09:22:30,A,ok,,0.937
2026-05-22T09:22:45,A,ok,,0.934
2026-05-22T09:23:00,A,ok,,0.944
2026-05-22T09:23:15,A,ok,,0.951
2026-05-22T09:23:30,A,ok,,0.976
2026-05-22T09:23:45,A,ok,,0.978
2026-05-22T09:24:00,A,ok,,0.959
2026-05-22T09:24:15,A,ok,,0.984
2026-05-22T09:24:30,A,ok,,0.962
2026-05-22T09:24:45,A,ok,,0.953
2026-05-22T09:25:00,A,ok,,0.962
2026-05-22T09:25:15,A,ok,,0.977
2026-05-22T09:25:30,A,ok,,0.93
2026-05-22T09:25:45,A,ok,,0.966
2026-05-22T09:26:00,A,ok,,0.96
2026-05-22T09:26:15,A,ok,,0.978
2026-05-22T09:26:30,A,ok,,0.971
2026-05-22T09:26:45,A,ok,,0.963
2026-05-22T09:27:00,A,ok,,0.989
2026-05-22T09:27:15,A,ok,,0.94
2026-05-22T09:27:30,A,ok,,0.986
2026-05-22T09:27:45,A,ok,,0.936
2026-05-22T09:28:00,A,ok,,0.933
2026-05-22T09:28:15,A,ok,,0.936
2026-05-22T09:28:30,A,ok,,0.987
2026-05-22T09:28:45,A,ok,,0.938
2026-05-22T09:29:00,A,ok,,0.961
2026-05-22T09:29:15,A,ok,,0.966
2026-05-22T09:29:30,A,ok,,0.982
2026-05-22T09:29:45,A,ok,,0.956
2026-05-22T09:30:00,A,ok,,0.927
2026-05-22T09:30:15,A,ok,,0.986
2026-05-22T09:30:30,A,ok,,0.963
2026-05-22T09:30:45,A,ok,,0.99
2026-05-22T09:31:00,A,ok,,0.968
2026-05-22T09:31:15,A,ok,,0.939
2026-05-22T09:31:30,A,ok,,0.953
2026-05-22T09:31:45,A,ok,,0.922
2026-05-22T09:32:00,A,ok,,0.954
2026-05-22T09:32:15,A,defect,scratch,0.86
2026-05-22T09:32:30,A,ok,,0.923
2026-05-22T09:32:45,A,ok,,0.921
2026-05-22T09:33:00,A,ok,,0.968
2026-05-22T09:33:15,A,ok,,0.981
2026-05-22T09:33:30,A,ok,,0.965
2026-05-22T09:33:45,A,ok,,0.944
2026-05-22T09:34:00,A,ok,,0.99
2026-05-22T09:34:15,A,ok,,0.971
2026-05-22T09:34:30,A,ok,,0.971
2026-05-22T09:34:45,A,ok,,0.935
2026-05-22T09:35:00,A,ok,,0.937
2026-05-22T09:35:15,A,ok,,0.962
2026-05-22T09:35:30,A,ok,,0.952
2026-05-22T09:35:45,A,ok,,0.969
2026-05-22T09:36:00,A,ok,,0.981
2026-05-22T09:36:15,A,ok,,0.929
2026-05-22T09:36:30,A,ok,,0.956
2026-05-22T09:36:45,A,ok,,0.927
2026-05-22T09:37:00,A,ok,,0.968
2026-05-22T09:37:15,A,ok,,0.966
2026-05-22T09:37:30,A,ok,,0.975
2026-05-22T09:37:45,A,ok,,0.973
2026-05-22T09:38:00,A,ok,,0.946
2026-05-22T09:38:15,A,ok,,0.925
2026-05-22T09:38:30,A,ok,,0.954
2026-05-22T09:38:45,A,ok,,0.97
2026-05-22T09:39:00,A,ok,,0.938
2026-05-22T09:39:15,A,ok,,0.939
2026-05-22T09:39:30,A,ok,,0.927
2026-05-22T09:39:45,A,ok,,0.964
2026-05-22T09:40:00,A,ok,,0.949
2026-05-22T09:40:15,A,ok,,0.927
2026-05-22T09:40:30,A,ok,,0.927
2026-05-22T09:40:45,A,ok,,0.955
2026-05-22T09:41:00,A,ok,,0.926
2026-05-22T09:41:15,A,ok,,0.976
