recorded_at,line_id,mold_temp,injection_pressure,injection_speed,cooling_time,humidity,ambient_temp
2026-05-22T09:00:00,A,75.99,89.59,61.94,22.28,49.3,23.77
2026-05-22T09:00:15,A,78.16,92.3,58.59,20.81,48.61,23.53
2026-05-22T09:00:30,A,71.55,88.31,56.96,20.47,47.28,22.59
2026-05-22T09:00:45,A,75.14,85.73,58.37,20.17,46.55,24.38
2026-05-22T09:01:00,A,73.8,89.12,58.19,22.78,49.96,22.94
2026-05-22T09:01:15,A,76.65,86.34,60.63,17.06,46.02,24.2
2026-05-22T09:01:30,A,76.48,90.51,59.65,19.55,45.56,23.28
2026-05-22T09:01:45,A,75.69,84.71,60.97,19.42,47.97,24.61
2026-05-22T09:02:00,A,77.06,92.79,57.48,19.54,50.99,24.98
2026-05-22T09:02:15,A,72.79,86.41,62.44,22.03,49.78,25.0
2026-05-22T09:02:30,A,75.72,94.61,59.89,22.35,42.14,24.82
2026-05-22T09:02:45,A,75.17,89.1,60.28,17.02,49.34,24.36
2026-05-22T09:03:00,A,73.38,88.49,62.75,20.49,48.41,24.51
2026-05-22T09:03:15,A,73.6,89.02,58.82,17.8,50.89,24.26
2026-05-22T09:03:30,A,72.17,88.74,58.97,18.8,49.52,24.4
2026-05-22T09:03:45,A,75.52,89.78,54.24,19.96,50.18,26.46
2026-05-22T09:04:00,A,74.62,90.9,59.9,18.25,53.43,24.75
2026-05-22T09:04:15,A,77.81,85.79,61.76,23.29,47.03,23.43
2026-05-22T09:04:30,A,71.9,90.21,56.81,20.71,47.24,25.55
2026-05-22T09:04:45,A,73.43,89.03,62.44,18.15,50.68,25.31
2026-05-22T09:05:00,A,75.52,92.35,56.29,18.02,51.57,24.3
2026-05-22T09:05:15,A,73.64,90.7,60.88,18.93,55.6,24.47
2026-05-22T09:05:30,A,73.05,92.36,63.48,18.77,52.89,24.41
2026-05-22T09:05:45,A,74.51,87.74,57.33,18.78,49.77,24.34
2026-05-22T09:06:00,A,75.03,94.36,59.21,24.08,51.88,23.14
2026-05-22T09:06:15,A,72.86,91.45,59.33,21.07,51.42,23.93
2026-05-22T09:06:30,A,73.31,85.46,58.66,21.28,50.64,22.75
2026-05-22T09:06:45,A,73.23,90.46,60.17,18.29,51.07,24.56
2026-05-22T09:07:00,A,72.24,87.19,61.55,20.77,51.55,27.85
2026-05-22T09:07:15,A,76.91,91.95,59.05,21.14,47.68,23.76
2026-05-22T09:07:30,A,79.63,84.4,62.06,17.58,48.58,25.09
2026-05-22T09:07:45,A,73.57,92.04,57.81,20.32,50.14,23.35
2026-05-22T09:08:00,A,70.95,90.56,58.01,21.28,47.62,23.89
2026-05-22T09:08:15,A,76.01,92.6,56.4,19.5,48.58,23.35
2026-05-22T09:08:30,A,72.48,92.75,66.37,21.55,45.44,23.52
2026-05-22T09:08:45,A,75.89,92.32,57.22,19.91,40.28,22.98
2026-05-22T09:09:00,A,78.26,85.71,58.68,20.2,54.32,22.56
2026-05-22T09:09:15,A,73.04,91.39,60.6,19.1,50.21,23.61
2026-05-22T09:09:30,A,78.17,86.29,66.4,17.07,49.54,24.59
2026-05-22T09:09:45,A,75.56,88.13,59.38,19.26,48.23,24.85
2026-05-22T09:10:00,A,76.8,90.92,62.44,20.94,47.51,23.44
2026-05-22T09:10:15,A,74.96,90.35,63.83,19.11,51.64,23.8
2026-05-22T09:10:30,A,76.65,92.44,63.92,20.03,52.05,23.69
2026-05-22T09:10:45,A,75.65,89.61,60.29,20.89,47.55,26.09
2026-05-22T09:11:00,A,77.32,92.37,61.87,20.94,49.96,23.1
2026-05-22T09:11:15,A,76.95,89.56,57.52,19.52,51.24,23.44
2026-05-22T09:11:30,A,75.49,88.48,58.59,20.35,45.66,22.59
2026-05-22T09:11:45,A,73.56,89.36,60.93,22.21,52.57,23.84
2026-05-22T09:12:00,A,74.96,89.13,60.97,18.76,51.56,25.53
2026-05-22T09:12:15,A,76.38,88.8,60.67,20.02,50.29,23.23
2026-05-22T09:12:30,A,77.9,92.88,66.46,18.85,52.62,24.18
2026-05-22T09:12:45,A,79.38,87.58,57.48,19.1,43.63,23.47
2026-05-22T09:13:00,A,75.68,95.63,62.85,19.13,47.3,24.49
2026-05-22T09:13:15,A,72.36,95.49,63.54,19.3,44.86,25.35
2026-05-22T09:13:30,A,74.77,93.71,55.22,19.1,50.02,24.05
2026-05-22T09:13:45,A,74.1,91.87,56.8,19.79,50.36,24.51
2026-05-22T09:14:00,A,71.93,93.83,61.0,18.88,54.65,24.12
2026-05-22T09:14:15,A,79.12,95.27,59.25,21.46,51.94,25.37
2026-05-22T09:14:30,A,77.12,84.72,56.45,16.94,49.19,24.72
2026-05-22T09:14:45,A,78.26,85.86,54.89,19.92,51.15,23.97
2026-05-22T09:15:00,A,72.39,92.01,61.1,18.59,48.46,22.94
2026-05-22T09:15:15,A,73.03,91.51,58.41,18.81,49.68,22.96
2026-05-22T09:15:30,A,78.93,90.11,57.9,20.32,49.66,23.78
2026-05-22T09:15:45,A,73.94,88.27,59.17,16.55,45.45,25.37
2026-05-22T09:16:00,A,76.15,90.93,69.24,21.68,49.62,23.04
2026-05-22T09:16:15,A,73.49,85.73,58.06,18.38,55.06,24.88
2026-05-22T09:16:30,A,75.15,87.42,64.57,20.81,46.89,23.81
2026-05-22T09:16:45,A,76.85,95.73,55.8,20.84,48.05,23.51
2026-05-22T09:17:00,A,75.1,87.51,60.81,19.92,49.28,23.09
2026-05-22T09:17:15,A,73.85,92.27,61.5,18.53,50.3,24.75
2026-05-22T09:17:30,A,73.67,91.71,57.71,17.29,45.12,24.05
2026-05-22T09:17:45,A,76.28,85.02,59.8,18.18,48.04,24.05
2026-05-22T09:18:00,A,77.01,88.27,62.51,18.31,51.59,25.44
2026-05-22T09:18:15,A,76.15,89.39,61.11,19.09,50.26,23.84
2026-05-22T09:18:30,A,75.68,88.76,58.54,19.35,51.18,23.58
2026-05-22T09:18:45,A,76.74,89.02,63.6,19.39,43.89,22.99
2026-05-22T09:19:00,A,75.04,95.03,60.98,19.67,52.49,21.79
2026-05-22T09:19:15,A,72.04,93.43,61.02,19.38,51.9,26.27
2026-05-22T09:19:30,A,74.08,87.45,62.49,18.72,50.21,23.52
2026-05-22T09:19:45,A,77.08,88.47,59.19,18.53,48.67,24.38
2026-05-22T09:20:00,A,76.74,94.07,61.24,22.82,47.68,22.76
2026-05-22T09:20:15,A,71.44,94.49,61.96,19.92,50.84,22.87
2026-05-22T09:20:30,A,75.22,92.18,61.44,20.34,47.63,24.47
2026-05-22T09:20:45,A,78.19,88.47,57.03,19.81,50.17,25.09
2026-05-22T09:21:00,A,74.68,88.72,56.96,17.52,52.47,24.07
2026-05-22T09:21:15,A,74.33,95.01,59.22,17.75,49.26,23.73
2026-05-22T09:21:30,A,74.54,92.09,65.55,21.69,49.19,22.89
2026-05-22T09:21:45,A,80.15,90.18,60.04,19.96,50.59,23.86
2026-05-22T09:22:00,A,74.93,88.37,57.86,20.16,49.24,25.5
2026-05-22T09:22:15,A,77.49,83.78,58.97,19.44,45.78,23.22
2026-05-22T09:22:30,A,76.87,93.81,62.17,18.31,48.43,24.49
